SIFARNIK,AOP,column_name,metric_label_hr,metric_label_en,metric_label_de,VRSTA,exists_in_db_afs
61,114,b114,Obveze za predujmove,Liabilities out of prepayments,Verbindlichkeiten aus Vorschüssen,00,1
61,115,b115,Obveze prema dobavljačima,Accounts payables,Verbindlichkeiten aus Lieferungen,00,1
61,116,b116,Obveze po vrijednosnim papirima,Liabilities payable for securities,Verbindlichkeiten aus Wechseln,00,1
61,117,b117,Obveze prema zaposlenicima,Liabilities to employees,Verbindlichkeiten gegenüber Mitarbeitern,00,1
61,118,b118,"Obveze za poreze, doprinose i sličana davanja","Liabilities payable for taxes, contributions and similar duties","Verbindlichkeiten aus Steuern, Beiträgen und ähnlichen Abgaben",00,1
61,119,b119,Obveze s osnove udjela u rezultatu,Liabilities payable based on share in operating result,Verbindlichkeiten im Zusammenhang mit dem Anteil im Ergebnis,00,1
61,120,b120,Obveze po osnovi dugotrajne imovine namijenjene prodaji,Liabilities payable based on fixed assets intended for sales,Verbindlichkeiten im Zusammenhang mit zur Veräußerung gehaltenen langfristigen Vermögenswerten,00,1
61,121,b121,Ostale kratkoročne obveze,Other short - term liabilities,Sonstige kurzfristige Verbindlichkeiten,00,1
61,122,b122,ODGOĐENO PLAĆANJE TROŠKOVA I PRIHOD BUDUĆEGA RAZDOBLJA,DEFERRED PAYMENT FOR EXPENSES AND FUTURE PERIOD INCOME,LATENTE BEZAHLUNG VON AUFWÄNDEN UND ERTRÄGE IM ZUKÜNFTIGER PERIODE,00,1
61,123,b123,UKUPNO – PASIVA (AOP 067+088+095+107+122),TOTAL - LIABILITIES (EDV 067 + 088 + 095 + 107 + 122),SUMME DER PASSIVA (EDP 067 + 088 + 095 + 107 + 122),00,1
61,124,b124,IZVANBILANČNI ZAPISI,OFF - BALANCE ENTRIES,AUßERBILANZIELLER POSTEN,00,1
61,125,b125,POSLOVNI PRIHODI (AOP 126 do 130),OPERATING INCOME (EDV 126 to 130),BETRIEBSERTRÄGE (EDP 126 bis 130),00,1
61,126,b126,Prihodi od prodaje s poduzetnicima unutar grupe,Sales proceeds from entities within a group,Umsatzerlöse mit verbundenen Unternehmen,00,1
61,127,b127,Prihodi od prodaje (izvan grupe),Sales income (outside the group),Umsatzerlöse (außerhalb Gruppen),00,1
61,128,b128,"Prihodi na temelju upotrebe vlastitih proizvoda, robe i usluga","Income based on use of own products, goods and services","Erträge aus Verwendung eigener Erzeugnisse, Waren und Dienstleistungen",00,1
61,129,b129,Ostali poslovni prihodi s poduzetnicima unutar grupe,Other business proceeds from entities within a group,Sonstige Geschäftserträge mit verbundenen Unternehmen,00,1
61,130,b130,Ostali poslovni prihodi (izvan grupe),Other operating income (outside the group),Sonstige Betriebserträge (außerhalb Gruppen),00,1
